"Date","Theft","Vandalism","Kidnapping","Controlled","Assault","Other"
"09/13/2014",157,53,13,21,36,137
"09/14/2014",153,39,19,30,39,116
"09/15/2014",172,36,11,21,22,125
"09/16/2014",172,34,12,21,28,139
"09/17/2014",153,42,17,24,30,129
"09/18/2014",153,45,12,23,31,148
"09/19/2014",221,34,16,20,39,134
"09/20/2014",199,47,16,21,45,152
"09/21/2014",167,40,17,18,52,141
"09/22/2014",148,42,15,19,60,115
"09/23/2014",172,34,12,21,55,131
"09/24/2014",164,32,10,24,31,132
"09/25/2014",166,39,11,10,41,116
"09/26/2014",176,49,19,24,44,155
"09/27/2014",192,45,23,21,52,164
"09/28/2014",164,31,8,21,53,109
"09/29/2014",169,45,9,24,34,130
"09/30/2014",144,39,22,14,27,156
"10/01/2014",186,38,13,17,47,145
"10/02/2014",137,42,8,31,45,135
"10/03/2014",220,45,18,23,32,113
"10/04/2014",210,44,15,25,55,135
"10/05/2014",174,48,15,16,51,128
"10/06/2014",157,39,7,15,44,134
"10/07/2014",218,46,18,15,45,117
"10/08/2014",174,28,14,22,33,122
"10/09/2014",195,41,24,25,35,142
"10/10/2014",200,38,32,14,41,135
"10/11/2014",245,59,22,16,38,141
"10/12/2014",187,44,15,12,38,118
"10/13/2014",173,51,8,34,26,141
"10/14/2014",178,36,19,8,42,164
"10/15/2014",189,39,18,12,44,119
"10/16/2014",159,41,27,22,38,133
"10/17/2014",185,54,14,24,50,111
"10/18/2014",207,32,16,22,36,125
"10/19/2014",171,35,10,20,43,119
"10/20/2014",189,31,10,14,31,124
"10/21/2014",157,39,15,25,40,137
"10/22/2014",163,30,18,18,36,133
"10/23/2014",177,39,18,20,39,145
"10/24/2014",177,61,9,20,50,160
"10/25/2014",205,36,12,15,56,136
"10/26/2014",167,39,12,19,37,118
"10/27/2014",183,33,9,10,39,99
"10/28/2014",182,38,15,21,34,126
"10/29/2014",202,54,12,18,54,154
"10/30/2014",169,34,11,12,37,124
"10/31/2014",180,37,24,27,34,125
"11/01/2014",195,43,24,29,58,127
"11/02/2014",156,33,9,22,38,112
"11/03/2014",167,27,13,14,37,106
"11/04/2014",151,46,12,27,27,133
"11/05/2014",159,39,15,23,39,143
"11/06/2014",141,40,12,22,30,159
"11/07/2014",179,30,21,23,42,138
"11/08/2014",165,52,12,23,33,138
"11/09/2014",170,32,5,31,37,117
"11/10/2014",159,35,15,22,42,144
"11/11/2014",148,46,12,20,36,114
"11/12/2014",183,35,13,13,40,137
"11/13/2014",156,30,7,25,25,133
"11/14/2014",222,34,19,11,38,146
"11/15/2014",190,55,12,13,43,150
"11/16/2014",157,34,9,16,38,119
"11/17/2014",161,26,14,11,29,115
"11/18/2014",172,44,16,25,39,126
"11/19/2014",144,55,7,11,29,115
"11/20/2014",180,35,5,10,28,109
"11/21/2014",186,49,8,21,40,138
"11/22/2014",200,48,20,11,44,127
"11/23/2014",173,34,14,22,34,146
"11/24/2014",194,37,15,12,40,117
"11/25/2014",186,72,7,14,37,116
"11/26/2014",210,37,20,16,38,133
"11/27/2014",133,36,12,11,30,90
"11/28/2014",213,48,5,11,40,86
"11/29/2014",199,28,7,17,35,106
"11/30/2014",145,33,9,14,32,88
"12/01/2014",165,43,9,17,29,165
"12/02/2014",157,33,9,21,24,113
"12/03/2014",142,26,14,11,32,105
"12/04/2014",147,42,10,18,39,101
"12/05/2014",213,47,14,10,43,114
"12/06/2014",198,37,6,19,40,95
"12/07/2014",153,39,9,12,38,111
"12/08/2014",178,37,10,12,34,127
"12/09/2014",161,37,15,16,42,125
