"Date","Southern","Mission","Northern","Central","Bayview","Ingleside","Tenderloin","Taraval","Park","Richmond"
"08/08/2014",91,60,79,65,43,41,40,29,30,33
"08/09/2014",108,61,65,59,41,38,25,24,43,45
"08/10/2014",86,59,64,54,35,25,20,27,36,51
"08/11/2014",66,60,47,50,32,37,23,28,38,24
"08/12/2014",93,35,47,39,42,28,43,33,35,18
"08/13/2014",62,48,55,63,38,50,28,35,13,22
"08/14/2014",89,52,56,47,47,44,35,28,28,22
"08/15/2014",96,55,42,47,48,30,42,24,19,24
"08/16/2014",118,58,72,48,36,45,38,24,29,21
"08/17/2014",81,58,63,62,35,29,28,16,22,18
"08/18/2014",113,55,62,50,46,41,25,38,26,18
"08/19/2014",70,52,45,42,40,32,23,20,25,18
"08/20/2014",94,73,52,53,36,40,31,28,30,16
"08/21/2014",80,51,53,35,35,31,26,19,18,29
"08/22/2014",121,62,68,44,48,48,33,19,14,26
"08/23/2014",77,53,79,57,49,33,26,35,44,24
"08/24/2014",81,52,49,78,23,40,32,19,11,16
"08/25/2014",85,66,46,34,36,30,43,29,36,18
"08/26/2014",78,44,71,56,53,27,23,21,31,24
"08/27/2014",76,62,50,41,45,22,24,32,26,23
"08/28/2014",81,35,35,57,41,35,27,27,25,17
"08/29/2014",110,66,83,60,41,46,25,25,27,19
"08/30/2014",103,66,53,71,33,32,31,31,19,28
"08/31/2014",80,51,56,51,25,33,22,25,8,27
"09/01/2014",54,44,58,48,17,22,45,31,26,33
"09/02/2014",72,60,57,43,32,50,28,28,24,17
"09/03/2014",66,48,36,38,50,38,22,22,30,35
"09/04/2014",100,44,63,57,33,42,31,39,28,36
"09/05/2014",95,46,50,58,45,26,33,27,37,25
"09/06/2014",82,51,58,55,30,36,30,26,32,33
"09/07/2014",68,34,52,50,30,32,23,28,19,17
"09/08/2014",80,57,47,37,30,51,39,18,24,15
"09/09/2014",93,63,43,41,35,37,48,27,30,16
"09/10/2014",111,52,63,39,44,34,39,38,25,17
"09/11/2014",90,39,56,43,15,47,27,22,40,25
"09/12/2014",79,48,61,58,45,33,18,27,26,25
"09/13/2014",85,48,49,52,40,29,35,28,29,22
"09/14/2014",77,47,52,49,39,32,26,29,16,29
"09/15/2014",62,46,48,40,35,50,35,23,23,25
"09/16/2014",83,62,45,36,20,47,22,40,20,31
"09/17/2014",86,53,52,41,33,34,31,26,20,19
"09/18/2014",71,52,54,53,43,34,26,30,24,25
"09/19/2014",115,44,40,57,38,33,41,33,39,24
"09/20/2014",97,60,68,78,36,40,17,35,29,20
"09/21/2014",91,56,55,53,44,36,30,18,31,21
"09/22/2014",52,59,47,34,39,48,27,39,31,23
"09/23/2014",86,59,51,34,32,58,43,24,16,22
"09/24/2014",109,41,36,30,17,39,36,41,29,15
"09/25/2014",77,66,53,31,34,41,31,15,22,13
"09/26/2014",110,56,60,52,48,40,27,34,26,14
"09/27/2014",105,54,57,66,51,44,39,30,24,27
"09/28/2014",89,47,34,54,39,28,31,21,28,15
"09/29/2014",76,59,54,45,39,34,17,36,33,18
"09/30/2014",57,53,50,41,35,49,34,29,32,22
"10/01/2014",76,63,46,62,32,41,24,46,37,19
"10/02/2014",62,52,55,53,32,37,47,28,19,13
"10/03/2014",74,67,56,51,42,47,41,34,21,18
"10/04/2014",87,65,53,62,43,55,22,24,28,45
"10/05/2014",76,58,38,46,35,52,20,45,28,34
"10/06/2014",87,51,54,44,39,29,23,26,17,26
"10/07/2014",87,71,71,32,38,35,48,27,34,16
"10/08/2014",51,46,46,52,31,44,33,27,41,22
"10/09/2014",84,61,68,44,38,42,51,32,32,10
"10/10/2014",90,54,65,52,28,46,34,35,33,23
"10/11/2014",125,41,66,79,48,60,28,37,23,14
"10/12/2014",77,52,67,47,47,35,39,19,22,9
"10/13/2014",88,61,48,55,41,35,34,21,33,17
"10/14/2014",96,47,53,52,54,39,32,32,26,16
"10/15/2014",76,46,59,62,27,37,27,26,34,27
"10/16/2014",86,58,55,46,47,29,25,21,24,29
"10/17/2014",85,59,60,64,41,32,30,28,22,17
"10/18/2014",109,49,55,72,35,35,26,23,17,17
"10/19/2014",74,31,53,73,33,41,35,24,12,22
"10/20/2014",81,37,53,53,29,45,26,32,21,22
"10/21/2014",77,48,63,42,35,42,29,30,27,20
"10/22/2014",67,52,54,35,47,30,20,41,21,31
"10/23/2014",87,64,44,49,42,42,30,33,30,17
"10/24/2014",102,49,51,76,37,49,33,21,26,33
"10/25/2014",86,68,58,72,32,34,23,30,36,21
"10/26/2014",76,64,45,46,26,31,27,35,21,21
"10/27/2014",69,58,47,47,35,32,31,27,7,20
"10/28/2014",85,54,57,51,30,35,23,32,21,28
"10/29/2014",111,81,60,55,32,50,22,35,29,19
"10/30/2014",86,49,61,59,23,27,23,17,16,26
"10/31/2014",97,48,52,56,26,29,29,38,15,37
"11/01/2014",84,48,75,67,43,39,26,42,29,23
"11/02/2014",56,55,61,44,34,36,23,17,20,24
"11/03/2014",88,69,32,34,26,32,32,25,11,15
"11/04/2014",64,84,41,38,28,44,28,27,18,24
"11/05/2014",80,57,42,47,36,49,30,33,16,28
"11/06/2014",72,50,49,40,41,56,33,23,24,16
"11/07/2014",100,50,59,46,44,38,20,34,18,24
"11/08/2014",95,54,61,47,28,38,31,32,10,27
"11/09/2014",66,59,54,51,27,25,31,33,20,26
"11/10/2014",74,51,60,40,40,29,28,40,25,30
"11/11/2014",84,56,52,32,27,37,23,25,22,18
"11/12/2014",95,57,38,51,50,46,30,21,10,23
"11/13/2014",85,63,52,39,23,32,29,28,16,9
"11/14/2014",84,68,67,47,40,32,28,42,33,29
"11/15/2014",118,52,70,41,36,36,39,31,29,11
"11/16/2014",69,52,46,34,49,36,19,23,28,17
"11/17/2014",68,41,46,43,42,28,17,28,24,19
"11/18/2014",91,55,69,35,38,43,28,30,18,15
"11/19/2014",84,42,38,42,34,21,26,32,21,21
"11/20/2014",80,49,46,44,29,26,21,28,29,15
"11/21/2014",93,46,61,56,40,40,35,33,26,12
"11/22/2014",87,64,52,71,45,29,27,27,26,22
"11/23/2014",71,75,51,50,46,32,33,29,22,14
"11/24/2014",80,51,57,51,32,32,25,37,24,26
"11/25/2014",91,45,46,86,35,27,21,37,30,14
"11/26/2014",110,57,51,58,30,37,25,33,21,32
"11/27/2014",56,41,36,40,25,27,17,13,32,25
"11/28/2014",69,47,50,56,36,33,39,34,13,26
"11/29/2014",67,29,53,50,29,41,43,32,26,22
"11/30/2014",52,33,37,53,25,30,29,25,22,15
"12/01/2014",85,48,69,38,30,43,37,34,17,27
"12/02/2014",76,36,69,27,36,35,19,26,14,19
"12/03/2014",53,41,39,49,37,18,17,32,25,19
"12/04/2014",76,50,47,39,30,30,18,21,15,31
"12/05/2014",101,48,56,58,30,25,39,27,19,38
"12/06/2014",86,35,71,41,31,30,30,29,18,24
"12/07/2014",58,55,60,51,27,20,35,23,15,18
"12/08/2014",96,56,44,41,31,32,33,22,17,26
"12/09/2014",102,49,32,41,32,35,35,26,23,21
"12/10/2014",73,36,54,53,54,40,26,30,27,18
"12/11/2014",78,47,43,41,25,23,14,24,18,9
"12/12/2014",99,32,76,46,38,32,23,38,33,16
"12/13/2014",69,42,65,68,37,33,22,28,26,25
"12/14/2014",78,37,49,60,25,31,29,34,12,22
"12/15/2014",85,49,48,29,37,35,18,26,26,13
"12/16/2014",70,38,48,44,37,32,22,33,20,11
"12/17/2014",85,42,52,38,37,39,29,28,21,35
"12/18/2014",86,44,55,50,43,29,38,53,14,22
"12/19/2014",129,39,61,54,37,42,33,27,15,14
"12/20/2014",86,58,46,50,45,34,25,29,16,31
"12/21/2014",73,48,62,54,22,37,34,48,17,20
"12/22/2014",81,50,49,73,32,39,35,28,15,38
"12/23/2014",88,44,57,49,40,31,33,36,22,26
"12/24/2014",69,35,50,62,27,27,24,27,26,23
"12/25/2014",36,28,46,43,21,23,24,18,6,12
"12/26/2014",91,40,58,57,30,27,26,34,19,27
"12/27/2014",94,34,50,44,32,31,28,24,25,14
"12/28/2014",64,44,57,49,35,22,28,23,26,13
"12/29/2014",98,39,55,62,24,30,42,30,25,29
"12/30/2014",83,44,51,38,26,18,28,37,27,25
"12/31/2014",80,53,57,51,29,32,23,28,21,27
